day	hour	value
1	1	7
1	2	2
1	3	3
1	4	1
1	5	0
1	6	4
1	7	11
1	8	25
1	9	46
1	10	35
1	11	24
1	12	18
1	13	31
1	14	27
1	15	28
1	16	35
1	17	46
1	18	41
1	19	51
1	20	35
1	21	22
1	22	17
1	23	11
1	24	8
2	1	8
2	2	2
2	3	2
2	4	0
2	5	3
2	6	1
2	7	7
2	8	28
2	9	62
2	10	41
2	11	27
2	12	25
2	13	23
2	14	30
2	15	33
2	16	42
2	17	46
2	18	71
2	19	50
2	20	43
2	21	21
2	22	26
2	23	12
2	24	9
3	1	8
3	2	11
3	3	6
3	4	2
3	5	0
3	6	6
3	7	11
3	8	27
3	9	57
3	10	49
3	11	28
3	12	22
3	13	34
3	14	41
3	15	32
3	16	30
3	17	54
3	18	55
3	19	61
3	20	29
3	21	19
3	22	23
3	23	21
3	24	10
4	1	8
4	2	5
4	3	7
4	4	0
4	5	3
4	6	6
4	7	12
4	8	40
4	9	50
4	10	52
4	11	23
4	12	30
4	13	28
4	14	36
4	15	34
4	16	43
4	17	50
4	18	49
4	19	41
4	20	33
4	21	26
4	22	18
4	23	16
4	24	24
5	1	8
5	2	11
5	3	2
5	4	4
5	5	2
5	6	2
5	7	1
5	8	18
5	9	48
5	10	45
5	11	22
5	12	23
5	13	35
5	14	33
5	15	33
5	16	33
5	17	37
5	18	52
5	19	51
5	20	39
5	21	29
5	22	21
5	23	33
5	24	20
6	1	17
6	2	22
6	3	11
6	4	1
6	5	1
6	6	0
6	7	4
6	8	6
6	9	10
6	10	15
6	11	24
6	12	24
6	13	28
6	14	37
6	15	37
6	16	23
6	17	41
6	18	32
6	19	30
6	20	13
6	21	14
6	22	18
6	23	14
6	24	19
7	1	17
7	2	12
7	3	13
7	4	5
7	5	2
7	6	0
7	7	2
7	8	8
7	9	10
7	10	12
7	11	13
7	12	30
7	13	25
7	14	27
7	15	22
7	16	24
7	17	33
7	18	24
7	19	32
7	20	21
7	21	21
7	22	17
7	23	13
7	24	16